customer_id,address_line1,address_line2,address_type,bill_pay_enrolled,city,country_code,created_by,created_datetime,custaccounts,customer_nbr,customer_origin_system,customer_status,customer_type,date_of_birth,email_address,first_name,full_name,gender,government_id,government_id_type,last_name,last_updated,last_updated_by,middle_name,phone_numbers,prefix,query_helper_column,solr_query,state_abbreviation,zipcode,zipcode4
1091166,Line1-1091166,,Residence,true,Bloomington,00,Java Test,2017-09-21 19:01:39.973+0000,"{'27c67fe5-ccd1-4209-b6fe-e3c72374666b', 'a557be68-9862-4525-8a7f-ce2d0a085f63', 'b21eab25-aa01-4ade-91ff-f6bfb020c9c9'}",1091166,RCIF,A,Retail,08/12/1943,"[{email_type: 'work', email_address: '1091166@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1091166@gmail.com', email_status: 'DND'}]",Miles,Miles John 91166,M,091166,TIN,91166,2017-09-21 19:01:39.973+0000,Java Test,John,"[{phone_type: 'work', phone_number: '1091166w'}, {phone_type: 'home', phone_number: '1091166h'}, {phone_type: 'cell', phone_number: '1091166c'}]",Mr,,,IL,61704,61704-1234
1025687,Line1-1025687,,Residence,true,Bloomington,00,Java Test,2017-09-21 19:01:39.973+0000,"{'82c07563-45d2-4a54-8587-6a06c6f07c91', 'dc933d13-d025-43d4-b3af-5a423bb3cca7', 'f5ebd6c1-f2d6-497e-9bdf-03334c404274'}",1025687,RCIF,A,Retail,11/29/1964,"[{email_type: 'work', email_address: '1025687@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1025687@gmail.com', email_status: 'DND'}]",Luis,Luis Javier 25687,M,025687,TIN,25687,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1025687w'}, {phone_type: 'home', phone_number: '1025687h'}, {phone_type: 'cell', phone_number: '1025687c'}]",Mr,,,MN,55435,55435-1234
1021880,Line1-1021880,,Residence,true,Chicago,00,Java Test,2017-09-21 19:01:39.973+0000,"{'07e01247-7128-4b07-9dd9-9364e2f5c4ef', '57f0fc8c-47c7-4d01-9fe2-fc19b0e79fc1', '99cdcdb3-6a50-44a5-95ed-7cdc5d797717'}",1021880,RCIF,A,Retail,08/19/1964,"[{email_type: 'work', email_address: '1021880@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1021880@gmail.com', email_status: 'DND'}]",Jason,Jason Paul 21880,M,021880,TIN,21880,2017-09-21 19:01:39.973+0000,Java Test,Paul,"[{phone_type: 'work', phone_number: '1021880w'}, {phone_type: 'home', phone_number: '1021880h'}, {phone_type: 'cell', phone_number: '1021880c'}]",Mr,,,IL,60601,60601-1234
1084687,Line1-1084687,,Residence,true,Bloomington,00,Java Test,2017-09-21 19:01:39.973+0000,"{'0c7291c9-da19-459b-9d23-9229100bc42b', '6e6f9498-4173-40eb-8017-e729f2518612', 'd5cb74ad-2248-4b16-9f3d-784743fd9605'}",1084687,RCIF,A,Retail,11/29/1964,"[{email_type: 'work', email_address: '1084687@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1084687@gmail.com', email_status: 'DND'}]",Luis,Luis Javier 84687,M,084687,TIN,84687,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1084687w'}, {phone_type: 'home', phone_number: '1084687h'}, {phone_type: 'cell', phone_number: '1084687c'}]",Mr,,,MN,55435,55435-1234
1048668,Line1-1048668,Apt 1048668,Apartment,false,Rockford,00,Java Test,2017-09-21 19:01:39.973+0000,"{'43c49f73-d504-4d83-a602-d37e2ecd5461', '47ef4f4e-ff76-4c9a-925d-29c9ea070c64', 'baddc1f5-3b28-4b0e-a647-e668f895442c'}",1048668,RCIF,A,Retail,02/01/1994,"[{email_type: 'work', email_address: '1048668@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1048668@gmail.com', email_status: 'DND'}]",Igor,Igor Golov 48668,M,048668,TIN,48668,2017-09-21 19:01:39.973+0000,Java Test,Golov,"[{phone_type: 'work', phone_number: '1048668w'}, {phone_type: 'home', phone_number: '1048668h'}, {phone_type: 'cell', phone_number: '1048668c'}]",Mr,,,MN,61101,61101-1234
1003095,Line1-1003095,,Residence,true,Duluth,00,Java Test,2017-09-21 19:01:39.973+0000,"{'0ea8d4dc-3ae9-42bc-96e0-7a931d530424', '1ae9502a-dbe9-405e-8956-6157646ea42d', 'ff6665d1-1f9b-4ca8-aede-a24fd3372895'}",1003095,RCIF,A,Retail,12/13/1954,"[{email_type: 'work', email_address: '1003095@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1003095@gmail.com', email_status: 'DND'}]",Julia,Julia Elizabeth 03095,F,003095,TIN,03095,2017-09-21 19:01:39.973+0000,Java Test,Elizabeth,"[{phone_type: 'work', phone_number: '1003095w'}, {phone_type: 'home', phone_number: '1003095h'}, {phone_type: 'cell', phone_number: '1003095c'}]",Ms,,,MN,55802,55802-1234
1095948,Line1-1095948,Apt 1095948,Apartment,false,Rockford,00,Java Test,2017-09-21 19:01:39.973+0000,"{'60725cc8-43a7-46f9-a1b3-07d51132259d', '7127cfa6-1fa9-4dc3-87d7-b405334b3776', 'f808637f-a1dd-4c34-a143-de0aa0d0997e'}",1095948,RCIF,A,Retail,02/01/1994,"[{email_type: 'work', email_address: '1095948@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1095948@gmail.com', email_status: 'DND'}]",Igor,Igor Golov 95948,M,095948,TIN,95948,2017-09-21 19:01:39.973+0000,Java Test,Golov,"[{phone_type: 'work', phone_number: '1095948w'}, {phone_type: 'home', phone_number: '1095948h'}, {phone_type: 'cell', phone_number: '1095948c'}]",Mr,,,MN,61101,61101-1234
1067168,Line1-1067168,Apt 1067168,Apartment,false,Rockford,00,Java Test,2017-09-21 19:01:39.973+0000,"{'592b6d39-099a-4da9-98fa-7c9fc09002b4', '8ea714a7-e5f5-4116-a93b-113a1b1d1bc8', 'a2fe4eea-f49c-4274-a73a-010362059abf'}",1067168,RCIF,A,Retail,02/01/1994,"[{email_type: 'work', email_address: '1067168@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1067168@gmail.com', email_status: 'DND'}]",Igor,Igor Golov 67168,M,067168,TIN,67168,2017-09-21 19:01:39.973+0000,Java Test,Golov,"[{phone_type: 'work', phone_number: '1067168w'}, {phone_type: 'home', phone_number: '1067168h'}, {phone_type: 'cell', phone_number: '1067168c'}]",Mr,,,MN,61101,61101-1234
1035327,Line1-1035327,,Residence,true,Bloomington,00,Java Test,2017-09-21 19:01:39.973+0000,"{'0fca3819-320c-480b-8d29-7977184ff871', '35eca200-9cbc-4950-a887-1cb5e7f22fd1', '3a232c87-5ce5-4c26-9133-e3bc42784b69'}",1035327,RCIF,A,Retail,11/29/1964,"[{email_type: 'work', email_address: '1035327@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1035327@gmail.com', email_status: 'DND'}]",Luis,Luis Javier 35327,M,035327,TIN,35327,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1035327w'}, {phone_type: 'home', phone_number: '1035327h'}, {phone_type: 'cell', phone_number: '1035327c'}]",Mr,,,MN,55435,55435-1234
1008606,Line1-1008606,,Residence,true,Bloomington,00,Java Test,2017-09-21 19:01:39.973+0000,"{'2d51a576-e5f6-4f47-9437-dae3574ada14', '7cd8f80c-5a63-4c78-b34a-24163c53b0ff', 'd162916b-90c3-41bf-8459-a4417b4bc3cb'}",1008606,RCIF,A,Retail,08/12/1943,"[{email_type: 'work', email_address: '1008606@gmail.com', email_status: 'valid'}, {email_type: 'Home', email_address: '1008606@gmail.com', email_status: 'DND'}]",Miles,Miles John 08606,M,008606,TIN,08606,2017-09-21 19:01:39.973+0000,Java Test,John,"[{phone_type: 'work', phone_number: '1008606w'}, {phone_type: 'home', phone_number: '1008606h'}, {phone_type: 'cell', phone_number: '1008606c'}]",Mr,,,IL,61704,61704-1234
