customer_id,account_no,account_origin_system,account_status,account_type,address_line1,address_line2,address_type,city,country_code,country_name,created_by,created_datetime,customer_nbr,date_of_birth,first_name,full_name,government_id,government_id_type,last_name,last_updated,last_updated_by,middle_name,phone_numbers,prefix,state_abbreviation,zipcode,zipcode4
1049935,1031177e-3ff1-4b77-8743-b248ed4aadc0,RCIF,Open,Saving,Line1-1049935,,Residence,Duluth,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1049935,12/13/1954,Julia,Julia Elizabeth 49935,049935,TIN,49935,2017-09-21 19:01:39.973+0000,Java Test,Elizabeth,"[{phone_type: 'work', phone_number: '1049935w'}, {phone_type: 'home', phone_number: '1049935h'}, {phone_type: 'cell', phone_number: '1049935c'}]",Ms,MN,55802,55802-1234
1049935,7eb99759-2d21-47ac-93df-f198e0800e76,RCIF,Open,Current,Line1-1049935,,Residence,Duluth,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1049935,12/13/1954,Julia,Julia Elizabeth 49935,049935,TIN,49935,2017-09-21 19:01:39.973+0000,Java Test,Elizabeth,"[{phone_type: 'work', phone_number: '1049935w'}, {phone_type: 'home', phone_number: '1049935h'}, {phone_type: 'cell', phone_number: '1049935c'}]",Ms,MN,55802,55802-1234
1049935,ce5bfaaa-ef86-4e6f-aee7-eb75384115a9,RCIF,Open,Joint Current,Line1-1049935,,Residence,Duluth,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1049935,12/13/1954,Julia,Julia Elizabeth 49935,049935,TIN,49935,2017-09-21 19:01:39.973+0000,Java Test,Elizabeth,"[{phone_type: 'work', phone_number: '1049935w'}, {phone_type: 'home', phone_number: '1049935h'}, {phone_type: 'cell', phone_number: '1049935c'}]",Ms,MN,55802,55802-1234
1078169,06a15bb7-a64d-4dc6-9fea-8c4eca3ddcfa,RCIF,Open,Current,Line1-1078169,Apt 1078169,Apartment,Champaign,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1078169,07/12/1944,Angela,Angela Eliza 78169,078169,TIN,78169,2017-09-21 19:01:39.973+0000,Java Test,Eliza,"[{phone_type: 'work', phone_number: '1078169w'}, {phone_type: 'home', phone_number: '1078169h'}, {phone_type: 'cell', phone_number: '1078169c'}]",Ms,IL,16821,16821-1234
1078169,3d39c52d-5c52-4e17-9324-e6d3522e2a37,RCIF,Open,Joint Current,Line1-1078169,Apt 1078169,Apartment,Champaign,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1078169,07/12/1944,Angela,Angela Eliza 78169,078169,TIN,78169,2017-09-21 19:01:39.973+0000,Java Test,Eliza,"[{phone_type: 'work', phone_number: '1078169w'}, {phone_type: 'home', phone_number: '1078169h'}, {phone_type: 'cell', phone_number: '1078169c'}]",Ms,IL,16821,16821-1234
1078169,cddb9342-4fcb-4ac4-a442-b1cd007cc8a7,RCIF,Open,Saving,Line1-1078169,Apt 1078169,Apartment,Champaign,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1078169,07/12/1944,Angela,Angela Eliza 78169,078169,TIN,78169,2017-09-21 19:01:39.973+0000,Java Test,Eliza,"[{phone_type: 'work', phone_number: '1078169w'}, {phone_type: 'home', phone_number: '1078169h'}, {phone_type: 'cell', phone_number: '1078169c'}]",Ms,IL,16821,16821-1234
1098037,51892926-abd0-4624-a4cf-a4b8c7c8f8f9,RCIF,Open,Mortgage,Line1-1098037,,Residence,Bloomington,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1098037,11/29/1964,Luis,Luis Javier 98037,098037,TIN,98037,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1098037w'}, {phone_type: 'home', phone_number: '1098037h'}, {phone_type: 'cell', phone_number: '1098037c'}]",Mr,MN,55435,55435-1234
1098037,be67647e-0e08-458a-80f2-df2764c72450,RCIF,Open,Joint Current,Line1-1098037,,Residence,Bloomington,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1098037,11/29/1964,Luis,Luis Javier 98037,098037,TIN,98037,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1098037w'}, {phone_type: 'home', phone_number: '1098037h'}, {phone_type: 'cell', phone_number: '1098037c'}]",Mr,MN,55435,55435-1234
1098037,d9483a8e-dd11-447f-9aa8-4bd7e80c164b,RCIF,Open,Current,Line1-1098037,,Residence,Bloomington,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1098037,11/29/1964,Luis,Luis Javier 98037,098037,TIN,98037,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1098037w'}, {phone_type: 'home', phone_number: '1098037h'}, {phone_type: 'cell', phone_number: '1098037c'}]",Mr,MN,55435,55435-1234
1098037,e5556314-d15f-426a-bb88-bc8dc92ad024,RCIF,Open,Saving,Line1-1098037,,Residence,Bloomington,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1098037,11/29/1964,Luis,Luis Javier 98037,098037,TIN,98037,2017-09-21 19:01:39.973+0000,Java Test,Javier,"[{phone_type: 'work', phone_number: '1098037w'}, {phone_type: 'home', phone_number: '1098037h'}, {phone_type: 'cell', phone_number: '1098037c'}]",Mr,MN,55435,55435-1234
1029484,1cf643a5-35ca-4f1f-850d-22acb863c923,RCIF,Open,Saving,Line1-1029484,,Residence,Edina,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1029484,11/22/1995,Louisa,Louisa Amy 29484,029484,TIN,29484,2017-09-21 19:01:39.973+0000,Java Test,Amy,"[{phone_type: 'work', phone_number: '1029484w'}, {phone_type: 'home', phone_number: '1029484h'}, {phone_type: 'cell', phone_number: '1029484c'}]",Ms,MN,55435,55435-1234
1029484,80e7bd3c-4229-4b83-9291-0c2ace495382,RCIF,Open,Current,Line1-1029484,,Residence,Edina,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1029484,11/22/1995,Louisa,Louisa Amy 29484,029484,TIN,29484,2017-09-21 19:01:39.973+0000,Java Test,Amy,"[{phone_type: 'work', phone_number: '1029484w'}, {phone_type: 'home', phone_number: '1029484h'}, {phone_type: 'cell', phone_number: '1029484c'}]",Ms,MN,55435,55435-1234
1029484,cc67bea8-433a-4298-a4b3-b204ccf5d999,RCIF,Open,Joint Current,Line1-1029484,,Residence,Edina,00,USA,Java Test,2017-09-21 19:01:39.973+0000,1029484,11/22/1995,Louisa,Louisa Amy 29484,029484,TIN,29484,2017-09-21 19:01:39.973+0000,Java Test,Amy,"[{phone_type: 'work', phone_number: '1029484w'}, {phone_type: 'home', phone_number: '1029484h'}, {phone_type: 'cell', phone_number: '1029484c'}]",Ms,MN,55435,55435-1234
